Method,dH.kcal.mol,SE.dH.kcal.mol,dS.kcal.molK,SE.dS.kcal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-70.25,4.917,-193.88,14.911,-10.11,0.323,53.7,
2 Tm versus ln[Ct],-60.22,1.221,-162.99,3.782,-9.67,0.048,54,
