Concentration.M,dH.kcal.mol,dS.kcal.molK,dG.kcal.mol,Tm.degC
4.07E-06,-63.36,-172.96,-9.72,43.05
6.86E-06,-71.12,-197.4,-9.89,44.64
1.09E-05,-64.77,-177.25,-9.8,46.39
1.73E-05,-64.5,-176.03,-9.9,48.43
3.02E-05,-70.9,-195.96,-10.12,50
4.62E-05,-74.31,-206.39,-10.3,51.39
8.05E-05,-71.68,-198.32,-10.18,52.97
0.000132,-74.82,-207.67,-10.41,54.76
0.000213,-76.75,-193.88,-10.17,56.97
