"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-68.06,1.68,-194.16,5.42,-7.84,0.13,43.08,3.99
"2 Tm versus ln[Ct]",-78.55,2.42,-228.06,7.84,-7.82,0.03,42.16,0.21
"3 Global fit",-70.52,0.28,-202.31,0.89,-7.78,0.01,42.58,0.02
