"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 individual fits",-55.73,"-56.48 to -54.99",-153.99,"-156.31 to -151.66",-7.97,"-8 to -7.94",50.31,"50.16 to 50.42"
"2 Tm versus ln[Ct]",-55.6,"-56.57 to -54.63",-153.61,"-156.63 to -150.59",-7.96,"-7.99 to -7.92",50.26,"50.11 to 50.38"
"3 Global fit",-56.61,"-57.75 to -55.72",-156.52,"-159.94 to -153.68",-8.07,"-8.14 to -8",50.67,"50.33 to 50.96"
