"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-68.87,"-69.69 to -67.85",-198.39,"-201.1 to -195.07",-7.34,"-7.38 to -7.3",40.7,"40.5 to 40.88"
"2 Tm versus ln[Ct]",-75.31,"-78.16 to -71.76",-219.16,"-228.31 to -207.73",-7.34,"-7.37 to -7.3",40.35,"40.2 to 40.51"
"3 Global fit",-71.1,"-72.97 to -68.8",-205.74,"-211.83 to -198.57",-7.29,"-7.36 to -7.22",40.34,"40.1 to 40.64"
