"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-55.47,1.38,-154.57,4.65,-7.54,0.19,47.72,1.86
"2 Tm versus ln[Ct]",-53.53,4.78,-148.54,14.83,-7.46,0.19,47.69,6.39
"3 Global fit",-55.41,0.21,-154.2,0.64,-7.59,0.01,48.06,0.27
