"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.93,"-57.09 to -54.91",-154.2,"-157.74 to -151.01",-8.1,"-8.15 to -8.06",51.05,"50.83 to 51.18",100,2373
"2 Tm versus ln[Ct]",-55.88,"-57.21 to -54.66",-154.07,"-158.17 to -150.26",-8.09,"-8.15 to -8.05",51,"50.79 to 51.17",100,2373
"3 Global fit",-56.75,"-57.77 to -55.9",-156.58,"-159.77 to -153.94",-8.19,"-8.27 to -8.1",51.38,"51.02 to 51.67",100,2373
