"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.93,"-56.8 to -54.95",-154.24,"-157 to -151.19",-8.09,"-8.13 to -8.06",51.02,"50.84 to 51.16",13.315,324
"2 Tm versus ln[Ct]",-55.88,"-56.82 to -55.01",-154.08,"-156.98 to -151.41",-8.09,"-8.13 to -8.06",50.98,"50.84 to 51.12",13.315,324
"3 Global fit",-56.59,"-57.59 to -55.66",-156.07,"-159.14 to -153.19",-8.18,"-8.24 to -8.07",51.36,"50.97 to 51.63",13.315,324
