"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.98,"-57.43 to -54.3",-154.38,"-159 to -149.15",-8.1,"-8.14 to -8.04",51.04,"50.7 to 51.19",6.575,154
"2 Tm versus ln[Ct]",-55.84,"-57.18 to -54.04",-153.97,"-158.21 to -148.36",-8.09,"-8.13 to -8.03",51,"50.71 to 51.17",6.575,154
"3 Global fit",-56.67,"-58.31 to -55.26",-156.31,"-161.29 to -152.19",-8.19,"-8.29 to -8.04",51.38,"50.8 to 51.67",6.575,154
