"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.91,"-57.13 to -54.94",-154.16,"-157.98 to -151.15",-8.1,"-8.14 to -8.06",51.05,"50.83 to 51.17",606.286,13528
"2 Tm versus ln[Ct]",-55.84,"-57.15 to -54.77",-153.97,"-158.06 to -150.62",-8.09,"-8.15 to -8.05",51,"50.78 to 51.15",606.286,13528
"3 Global fit",-56.78,"-57.98 to -55.7",-156.66,"-160.31 to -153.3",-8.19,"-8.27 to -8.09",51.38,"50.96 to 51.67",606.286,13528
