"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.01,"-57.07 to -54.95",-154.47,"-157.83 to -151.2",-8.1,"-8.15 to -8.07",51.04,"50.84 to 51.17",28.239,684
"2 Tm versus ln[Ct]",-55.9,"-56.85 to -54.76",-154.14,"-157.07 to -150.58",-8.09,"-8.14 to -8.05",51,"50.83 to 51.13",28.239,684
"3 Global fit",-56.67,"-57.87 to -55.76",-156.33,"-159.95 to -153.57",-8.19,"-8.26 to -8.06",51.37,"50.86 to 51.68",28.239,684
