"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.64,"-57.07 to -56.2",-156.35,"-157.74 to -154.96",-8.14,"-8.15 to -8.14",51.14,"51.04 to 51.23",0.594,12
"2 Tm versus ln[Ct]",-56.73,"-57.46 to -55.99",-156.62,"-158.95 to -154.28",-8.15,"-8.17 to -8.13",51.14,"51.05 to 51.24",0.594,12
"3 Global fit",-55.91,"-56.68 to -55.13",-153.87,"-156.29 to -151.45",-8.19,"-8.21 to -8.16",51.56,"51.49 to 51.64",0.594,12
