"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.96,"-56.81 to -55.04",-154.3,"-156.88 to -151.48",-8.1,"-8.15 to -8.06",51.06,"50.87 to 51.17",17.095,416
"2 Tm versus ln[Ct]",-55.88,"-56.82 to -54.98",-154.07,"-157.04 to -151.3",-8.09,"-8.14 to -8.06",51.02,"50.86 to 51.12",17.095,416
"3 Global fit",-56.76,"-57.88 to -55.91",-156.6,"-160 to -154.18",-8.19,"-8.25 to -8.1",51.38,"51.02 to 51.66",17.095,416
