"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.89,"-56.55 to -55.3",-154.12,"-156.26 to -152.22",-8.09,"-8.09 to -8.08",50.99,"50.81 to 51.12",0.985,21
"2 Tm versus ln[Ct]",-55.86,"-56.92 to -54.96",-154.06,"-157.44 to -151.23",-8.08,"-8.09 to -8.06",50.92,"50.73 to 51.06",0.985,21
"3 Global fit",-56.55,"-57.38 to -55.71",-155.93,"-158.46 to -153.27",-8.18,"-8.23 to -8.14",51.41,"51.16 to 51.62",0.985,21
