"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.92,"-57.06 to -54.97",-154.19,"-157.76 to -151.23",-8.1,"-8.14 to -8.06",51.05,"50.83 to 51.18",784.85,17346
"2 Tm versus ln[Ct]",-55.84,"-57.07 to -54.67",-153.96,"-157.84 to -150.3",-8.09,"-8.14 to -8.04",51,"50.78 to 51.15",784.85,17346
"3 Global fit",-56.77,"-58.02 to -55.76",-156.64,"-160.42 to -153.57",-8.19,"-8.28 to -8.09",51.38,"50.97 to 51.67",784.85,17346
