"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.98,"-57.19 to -54.94",-154.39,"-158.17 to -151.11",-8.1,"-8.13 to -8.07",51.02,"50.81 to 51.17",36.67,878
"2 Tm versus ln[Ct]",-55.91,"-56.88 to -54.59",-154.19,"-157.22 to -150.07",-8.09,"-8.13 to -8.04",50.97,"50.74 to 51.12",36.67,878
"3 Global fit",-56.83,"-58.12 to -55.76",-156.82,"-160.77 to -153.58",-8.2,"-8.31 to -8.09",51.39,"50.98 to 51.69",36.67,878
