"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.94,"-57.2 to -54.95",-154.24,"-158.22 to -151.14",-8.1,"-8.15 to -8.06",51.05,"50.83 to 51.18",2657.875,60130
"2 Tm versus ln[Ct]",-55.85,"-57.21 to -54.71",-154,"-158.29 to -150.41",-8.09,"-8.15 to -8.05",51,"50.78 to 51.15",2657.875,60130
"3 Global fit",-56.76,"-57.98 to -55.74",-156.6,"-160.27 to -153.51",-8.19,"-8.28 to -8.09",51.37,"50.96 to 51.68",2657.875,60130
