"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.92,"-57.15 to -54.92",-154.2,"-158.05 to -151.05",-8.1,"-8.15 to -8.06",51.05,"50.83 to 51.18",3361.913,77102
"2 Tm versus ln[Ct]",-55.84,"-57.19 to -54.68",-153.96,"-158.11 to -150.31",-8.09,"-8.14 to -8.04",51,"50.78 to 51.15",3361.913,77102
"3 Global fit",-56.75,"-57.96 to -55.73",-156.57,"-160.19 to -153.47",-8.19,"-8.27 to -8.1",51.38,"50.97 to 51.68",3361.913,77102
