"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.93,"-57.23 to -54.94",-154.23,"-158.29 to -151.15",-8.1,"-8.14 to -8.06",51.05,"50.81 to 51.17",128.098,3043
"2 Tm versus ln[Ct]",-55.82,"-57.25 to -54.71",-153.9,"-158.38 to -150.41",-8.09,"-8.14 to -8.04",51,"50.76 to 51.15",128.098,3043
"3 Global fit",-56.84,"-58.18 to -55.73",-156.83,"-160.93 to -153.39",-8.2,"-8.29 to -8.09",51.38,"50.97 to 51.67",128.098,3043
