"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.34,"-57.03 to -55.63",-155.49,"-157.7 to -153.23",-8.11,"-8.12 to -8.1",51.02,"50.85 to 51.14",1.149,27
"2 Tm versus ln[Ct]",-55.82,"-56.59 to -54.77",-153.91,"-156.36 to -150.62",-8.09,"-8.11 to -8.06",50.99,"50.82 to 51.1",1.149,27
"3 Global fit",-56.65,"-57.23 to -55.87",-156.35,"-158.1 to -154.08",-8.16,"-8.2 to -8.09",51.2,"50.96 to 51.38",1.149,27
