"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.95,"-57.31 to -54.9",-154.27,"-158.55 to -151",-8.1,"-8.15 to -8.06",51.05,"50.84 to 51.18",46.854,1125
"2 Tm versus ln[Ct]",-55.91,"-57.45 to -54.76",-154.19,"-159.02 to -150.63",-8.09,"-8.16 to -8.05",51,"50.81 to 51.14",46.854,1125
"3 Global fit",-56.77,"-58.02 to -55.92",-156.64,"-160.43 to -154.04",-8.19,"-8.27 to -8.1",51.37,"50.97 to 51.63",46.854,1125
