"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.96,"-57.1 to -54.93",-154.32,"-157.92 to -151.13",-8.1,"-8.14 to -8.06",51.03,"50.83 to 51.15",77.856,1851
"2 Tm versus ln[Ct]",-55.91,"-57.35 to -54.7",-154.19,"-158.63 to -150.41",-8.09,"-8.14 to -8.05",50.99,"50.77 to 51.13",77.856,1851
"3 Global fit",-56.73,"-57.94 to -55.63",-156.53,"-160.18 to -153.05",-8.19,"-8.28 to -8.09",51.36,"50.99 to 51.66",77.856,1851
