"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.76,"-56.79 to -55.1",-153.67,"-156.87 to -151.61",-8.09,"-8.13 to -8.06",51.06,"50.94 to 51.2",3.057,73
"2 Tm versus ln[Ct]",-55.78,"-56.53 to -55.34",-153.77,"-156.04 to -152.38",-8.09,"-8.13 to -8.06",51.02,"50.89 to 51.17",3.057,73
"3 Global fit",-56.83,"-57.79 to -56.09",-156.89,"-159.76 to -154.71",-8.17,"-8.23 to -8.1",51.23,"51.01 to 51.39",3.057,73
