"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.96,"-56.97 to -54.79",-154.32,"-157.45 to -150.66",-8.1,"-8.14 to -8.06",51.03,"50.85 to 51.15",10.542,253
"2 Tm versus ln[Ct]",-55.89,"-57.07 to -54.6",-154.13,"-157.77 to -150.12",-8.09,"-8.14 to -8.05",50.99,"50.82 to 51.17",10.542,253
"3 Global fit",-56.63,"-57.59 to -55.42",-156.24,"-159.2 to -152.67",-8.18,"-8.24 to -8.08",51.32,"50.94 to 51.65",10.542,253
