"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.96,"-57.19 to -54.97",-154.3,"-158.16 to -151.25",-8.1,"-8.15 to -8.06",51.05,"50.82 to 51.18",470.432,10550
"2 Tm versus ln[Ct]",-55.87,"-57.21 to -54.77",-154.07,"-158.23 to -150.59",-8.09,"-8.14 to -8.05",51,"50.78 to 51.15",470.432,10550
"3 Global fit",-56.73,"-58 to -55.82",-156.52,"-160.32 to -153.72",-8.19,"-8.27 to -8.09",51.37,"50.95 to 51.69",470.432,10550
