"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.91,"-56.97 to -54.94",-154.16,"-157.5 to -151.1",-8.1,"-8.15 to -8.06",51.05,"50.83 to 51.18",359.798,8228
"2 Tm versus ln[Ct]",-55.82,"-57.11 to -54.73",-153.9,"-157.91 to -150.51",-8.09,"-8.15 to -8.04",51.01,"50.8 to 51.15",359.798,8228
"3 Global fit",-56.77,"-58.08 to -55.73",-156.64,"-160.61 to -153.47",-8.19,"-8.28 to -8.1",51.38,"51 to 51.69",359.798,8228
