"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.18,"-57.5 to -54.86",-155.07,"-159.26 to -150.89",-8.09,"-8.11 to -8.06",50.89,"50.67 to 51.11",0.731,16
"2 Tm versus ln[Ct]",-56.62,"-57.59 to -55.65",-156.44,"-159.47 to -153.41",-8.1,"-8.13 to -8.07",50.88,"50.8 to 50.95",0.731,16
"3 Global fit",-55.87,"-57.39 to -54.35",-154.08,"-158.54 to -149.62",-8.09,"-8.22 to -7.95",50.94,"50.52 to 51.37",0.731,16
