"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.95,"-57.15 to -54.98",-154.29,"-158.04 to -151.28",-8.1,"-8.15 to -8.06",51.04,"50.83 to 51.18",1005.969,22243
"2 Tm versus ln[Ct]",-55.87,"-57.16 to -54.71",-154.06,"-158.03 to -150.42",-8.09,"-8.15 to -8.05",51,"50.77 to 51.14",1005.969,22243
"3 Global fit",-56.76,"-58 to -55.72",-156.6,"-160.32 to -153.42",-8.19,"-8.27 to -8.09",51.38,"50.98 to 51.68",1005.969,22243
