"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.91,"-57.03 to -54.85",-154.14,"-157.63 to -150.85",-8.1,"-8.14 to -8.06",51.05,"50.83 to 51.17",164.244,3902
"2 Tm versus ln[Ct]",-55.83,"-57.01 to -54.56",-153.94,"-157.62 to -149.96",-8.09,"-8.14 to -8.05",51,"50.77 to 51.14",164.244,3902
"3 Global fit",-56.73,"-57.91 to -55.75",-156.5,"-160.07 to -153.41",-8.19,"-8.27 to -8.09",51.38,"51 to 51.68",164.244,3902
