"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.2,"-56.76 to -55.81",-155.05,"-156.75 to -153.8",-8.11,"-8.15 to -8.09",51.02,"50.84 to 51.12",1.865,44
"2 Tm versus ln[Ct]",-56.16,"-56.77 to -55.57",-154.98,"-156.94 to -153.12",-8.1,"-8.14 to -8.07",50.97,"50.77 to 51.09",1.865,44
"3 Global fit",-56.9,"-57.47 to -56.42",-157.05,"-158.88 to -155.54",-8.19,"-8.2 to -8.18",51.33,"51.18 to 51.46",1.865,44
