"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.93,"-57.18 to -54.93",-154.21,"-158.11 to -151.11",-8.1,"-8.14 to -8.07",51.05,"50.84 to 51.18",276.99,6416
"2 Tm versus ln[Ct]",-55.86,"-57.19 to -54.67",-154.03,"-158.14 to -150.32",-8.09,"-8.15 to -8.05",51.01,"50.81 to 51.15",276.99,6416
"3 Global fit",-56.77,"-58.01 to -55.8",-156.62,"-160.28 to -153.73",-8.19,"-8.28 to -8.1",51.39,"50.98 to 51.69",276.99,6416
