"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.7,"-56.51 to -54.88",-153.48,"-155.96 to -150.96",-8.1,"-8.14 to -8.05",51.09,"50.99 to 51.15",3.986,93
"2 Tm versus ln[Ct]",-55.7,"-56.4 to -55",-153.53,"-155.64 to -151.38",-8.09,"-8.13 to -8.05",51.03,"50.91 to 51.12",3.986,93
"3 Global fit",-57.14,"-58.21 to -56.57",-157.73,"-160.94 to -155.89",-8.22,"-8.3 to -8.16",51.43,"51.23 to 51.64",3.986,93
