"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.92,"-57.12 to -54.86",-154.2,"-157.93 to -150.88",-8.1,"-8.15 to -8.06",51.05,"50.84 to 51.18",60.497,1443
"2 Tm versus ln[Ct]",-55.82,"-57.07 to -54.75",-153.89,"-157.73 to -150.58",-8.09,"-8.14 to -8.05",51,"50.78 to 51.13",60.497,1443
"3 Global fit",-56.67,"-57.85 to -55.79",-156.33,"-159.85 to -153.55",-8.19,"-8.27 to -8.1",51.38,"51 to 51.64",60.497,1443
