"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.9,"-57.01 to -54.98",-154.12,"-157.64 to -151.24",-8.1,"-8.14 to -8.06",51.05,"50.84 to 51.18",213.274,5004
"2 Tm versus ln[Ct]",-55.83,"-57.1 to -54.74",-153.92,"-157.84 to -150.52",-8.09,"-8.14 to -8.05",51,"50.78 to 51.15",213.274,5004
"3 Global fit",-56.76,"-58.12 to -55.83",-156.6,"-160.69 to -153.64",-8.19,"-8.28 to -8.09",51.37,"50.97 to 51.7",213.274,5004
