"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.2,"-57.12 to -55.06",-155.05,"-157.96 to -151.54",-8.11,"-8.15 to -8.07",51.03,"50.87 to 51.17",5.026,120
"2 Tm versus ln[Ct]",-56.04,"-57.34 to -54.88",-154.59,"-158.66 to -150.96",-8.09,"-8.13 to -8.05",50.98,"50.83 to 51.09",5.026,120
"3 Global fit",-56.67,"-57.41 to -56.15",-156.36,"-158.55 to -154.87",-8.18,"-8.24 to -8.11",51.31,"51.07 to 51.5",5.026,120
