"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.94,"-57.15 to -54.94",-154.23,"-158.05 to -151.1",-8.1,"-8.15 to -8.06",51.05,"50.83 to 51.18",2139.556,46894
"2 Tm versus ln[Ct]",-55.85,"-57.16 to -54.71",-154.01,"-158.08 to -150.44",-8.09,"-8.15 to -8.05",51,"50.78 to 51.15",2139.556,46894
"3 Global fit",-56.75,"-58.01 to -55.74",-156.56,"-160.4 to -153.49",-8.19,"-8.28 to -8.09",51.38,"50.98 to 51.69",2139.556,46894
