"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.88,"-57.02 to -55.02",-154.07,"-157.66 to -151.41",-8.1,"-8.15 to -8.06",51.04,"50.85 to 51.18",22.004,534
"2 Tm versus ln[Ct]",-55.81,"-56.88 to -54.87",-153.86,"-157.17 to -150.95",-8.09,"-8.15 to -8.04",51,"50.81 to 51.13",22.004,534
"3 Global fit",-56.84,"-58 to -55.56",-156.83,"-160.39 to -153.15",-8.19,"-8.29 to -8.07",51.37,"50.9 to 51.65",22.004,534
