"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-56.16,"-57.19 to -55.23",-154.93,"-158.23 to -152.01",-8.1,"-8.14 to -8.08",51.01,"50.81 to 51.12",2.354,56
"2 Tm versus ln[Ct]",-55.94,"-57.18 to -55.07",-154.3,"-158.23 to -151.57",-8.08,"-8.13 to -8.06",50.94,"50.73 to 51.06",2.354,56
"3 Global fit",-56.86,"-58.16 to -55.98",-156.89,"-160.83 to -154.16",-8.2,"-8.28 to -8.15",51.42,"51.2 to 51.62",2.354,56
