"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.93,"-57.16 to -54.92",-154.22,"-158.03 to -151.09",-8.1,"-8.15 to -8.06",51.05,"50.82 to 51.18",1663.344,36571
"2 Tm versus ln[Ct]",-55.85,"-57.16 to -54.69",-153.99,"-158.08 to -150.35",-8.09,"-8.14 to -8.04",51,"50.77 to 51.15",1663.344,36571
"3 Global fit",-56.76,"-57.96 to -55.76",-156.6,"-160.24 to -153.52",-8.19,"-8.28 to -8.09",51.37,"50.97 to 51.69",1663.344,36571
