"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 Individual fits",-55.91,"-57.13 to -54.96",-154.16,"-157.92 to -151.17",-8.1,"-8.15 to -8.06",51.05,"50.84 to 51.18",1293.83,28521
"2 Tm versus ln[Ct]",-55.83,"-57.1 to -54.7",-153.92,"-157.89 to -150.4",-8.09,"-8.14 to -8.05",51,"50.79 to 51.15",1293.83,28521
"3 Global fit",-56.77,"-57.92 to -55.77",-156.64,"-160.13 to -153.62",-8.19,"-8.28 to -8.09",51.37,"50.98 to 51.69",1293.83,28521
