"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.94,"-56.39 to -55.68",-154.66,"-156.1 to -153.82",-7.98,"-7.98 to -7.97",50.3,"50.2 to 50.38",0.948,16
"2 Tm versus ln[Ct]",-55.73,"-56.27 to -55.19",-154.02,"-155.69 to -152.31",-7.96,"-7.99 to -7.94",50.25,"50.17 to 50.31",0.948,16
"3 Global fit",-56.74,"-57.88 to -55.94",-156.89,"-160.39 to -154.34",-8.08,"-8.13 to -8.05",50.73,"50.59 to 50.91",0.948,16
