"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.73,"-56.48 to -54.99",-153.98,"-156.31 to -151.67",-7.97,"-8 to -7.94",50.31,"50.17 to 50.45",120.511,1851
"2 Tm versus ln[Ct]",-55.61,"-56.54 to -54.76",-153.65,"-156.52 to -151.02",-7.96,"-8 to -7.92",50.26,"50.12 to 50.38",120.511,1851
"3 Global fit",-56.58,"-57.7 to -55.67",-156.42,"-159.83 to -153.54",-8.07,"-8.14 to -7.98",50.67,"50.28 to 50.98",120.511,1851
