"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.74,"-56.52 to -54.97",-154.01,"-156.44 to -151.59",-7.97,"-8 to -7.94",50.32,"50.16 to 50.43",421.813,6416
"2 Tm versus ln[Ct]",-55.6,"-56.59 to -54.6",-153.61,"-156.69 to -150.47",-7.96,"-8 to -7.92",50.26,"50.14 to 50.39",421.813,6416
"3 Global fit",-56.58,"-57.72 to -55.61",-156.43,"-159.93 to -153.45",-8.07,"-8.15 to -7.98",50.67,"50.26 to 50.98",421.813,6416
