"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.78,"-56.53 to -55.03",-154.16,"-156.49 to -151.83",-7.97,"-8 to -7.94",50.3,"50.16 to 50.42",56.882,878
"2 Tm versus ln[Ct]",-55.66,"-56.54 to -54.49",-153.82,"-156.52 to -150.13",-7.96,"-8 to -7.92",50.26,"50.15 to 50.38",56.882,878
"3 Global fit",-56.54,"-57.73 to -55.72",-156.29,"-159.92 to -153.67",-8.06,"-8.14 to -7.98",50.66,"50.27 to 50.95",56.882,878
