"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.82,"-56.9 to -55.21",-154.26,"-157.6 to -152.37",-7.98,"-8.02 to -7.95",50.34,"50.34 to 50.35",0.723,10
"2 Tm versus ln[Ct]",-56.28,"-57.9 to -55.1",-155.7,"-160.68 to -152.05",-7.98,"-8.05 to -7.94",50.28,"50.19 to 50.34",0.723,10
"3 Global fit",-57.15,"-57.73 to -56.43",-158.1,"-159.9 to -155.86",-8.11,"-8.14 to -8.08",50.8,"50.76 to 50.85",0.723,10
