"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.72,"-56.5 to -54.96",-153.96,"-156.41 to -151.55",-7.97,"-8 to -7.94",50.32,"50.16 to 50.44",255.525,3902
"2 Tm versus ln[Ct]",-55.58,"-56.53 to -54.62",-153.56,"-156.5 to -150.57",-7.96,"-7.99 to -7.92",50.26,"50.13 to 50.39",255.525,3902
"3 Global fit",-56.6,"-57.75 to -55.64",-156.48,"-159.93 to -153.54",-8.07,"-8.15 to -7.98",50.68,"50.26 to 51",255.525,3902
