"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.76,"-56.45 to -54.97",-154.07,"-156.24 to -151.6",-7.97,"-8 to -7.94",50.31,"50.14 to 50.42",44.449,684
"2 Tm versus ln[Ct]",-55.64,"-56.56 to -54.69",-153.74,"-156.56 to -150.77",-7.96,"-8 to -7.92",50.26,"50.11 to 50.39",44.449,684
"3 Global fit",-56.58,"-57.67 to -55.66",-156.41,"-159.72 to -153.51",-8.06,"-8.14 to -7.99",50.67,"50.27 to 50.96",44.449,684
