"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.76,"-56.64 to -54.63",-154.08,"-156.89 to -150.58",-7.97,"-8 to -7.94",50.31,"50.17 to 50.44",7.661,120
"2 Tm versus ln[Ct]",-55.57,"-56.57 to -54.24",-153.53,"-156.66 to -149.36",-7.96,"-8 to -7.92",50.26,"50.12 to 50.37",7.661,120
"3 Global fit",-56.53,"-57.49 to -55.71",-156.27,"-159.28 to -153.72",-8.06,"-8.11 to -7.96",50.64,"50.19 to 50.89",7.661,120
