"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.62,"-56.2 to -55.11",-153.66,"-155.56 to -152.06",-7.96,"-7.99 to -7.94",50.31,"50.13 to 50.42",9.599,154
"2 Tm versus ln[Ct]",-55.42,"-56.39 to -54.55",-153.06,"-156.04 to -150.38",-7.95,"-7.99 to -7.91",50.25,"50.09 to 50.36",9.599,154
"3 Global fit",-56.59,"-57.83 to -55.85",-156.46,"-160.19 to -154.26",-8.07,"-8.15 to -7.99",50.66,"50.34 to 50.86",9.599,154
