"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.36,"-55.57 to -54.98",-152.82,"-153.49 to -151.66",-7.96,"-7.97 to -7.95",50.35,"50.32 to 50.39",0.725,12
"2 Tm versus ln[Ct]",-54.75,"-54.87 to -54.52",-150.96,"-151.35 to -150.25",-7.93,"-7.94 to -7.92",50.29,"50.28 to 50.31",0.725,12
"3 Global fit",-56.92,"-57.5 to -56.42",-157.43,"-159.2 to -155.9",-8.09,"-8.13 to -8.06",50.75,"50.72 to 50.81",0.725,12
