"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.71,"-56.49 to -54.97",-153.94,"-156.37 to -151.63",-7.97,"-8 to -7.94",50.31,"50.17 to 50.43",94.772,1443
"2 Tm versus ln[Ct]",-55.6,"-56.55 to -54.69",-153.63,"-156.57 to -150.78",-7.96,"-8 to -7.92",50.26,"50.14 to 50.38",94.772,1443
"3 Global fit",-56.62,"-57.74 to -55.59",-156.55,"-159.91 to -153.28",-8.07,"-8.15 to -7.99",50.68,"50.32 to 50.98",94.772,1443
