"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.62,"-55.95 to -55.14",-153.63,"-154.69 to -152.11",-7.97,"-7.98 to -7.96",50.33,"50.26 to 50.41",1.398,21
"2 Tm versus ln[Ct]",-55.39,"-56.15 to -54.78",-152.95,"-155.35 to -151.06",-7.94,"-7.97 to -7.93",50.26,"50.2 to 50.31",1.398,21
"3 Global fit",-56.61,"-57.16 to -56.25",-156.48,"-158.15 to -155.52",-8.07,"-8.11 to -8.02",50.72,"50.43 to 50.85",1.398,21
