"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.73,"-56.5 to -54.96",-153.98,"-156.39 to -151.57",-7.97,"-8 to -7.94",50.31,"50.17 to 50.44",681.179,10550
"2 Tm versus ln[Ct]",-55.59,"-56.56 to -54.57",-153.57,"-156.6 to -150.41",-7.96,"-8 to -7.92",50.26,"50.14 to 50.39",681.179,10550
"3 Global fit",-56.58,"-57.72 to -55.63",-156.41,"-159.85 to -153.43",-8.07,"-8.14 to -7.98",50.68,"50.28 to 50.98",681.179,10550
