"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.73,"-56.52 to -54.94",-153.98,"-156.48 to -151.53",-7.97,"-8 to -7.94",50.31,"50.16 to 50.44",1477.214,22243
"2 Tm versus ln[Ct]",-55.59,"-56.58 to -54.58",-153.57,"-156.65 to -150.42",-7.96,"-8 to -7.92",50.26,"50.14 to 50.39",1477.214,22243
"3 Global fit",-56.61,"-57.74 to -55.65",-156.5,"-159.97 to -153.53",-8.07,"-8.15 to -7.98",50.68,"50.28 to 50.98",1477.214,22243
