"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.76,"-56.45 to -54.96",-154.08,"-156.26 to -151.59",-7.97,"-8 to -7.94",50.31,"50.17 to 50.42",34.504,534
"2 Tm versus ln[Ct]",-55.63,"-56.53 to -54.92",-153.71,"-156.54 to -151.51",-7.96,"-8 to -7.92",50.26,"50.13 to 50.37",34.504,534
"3 Global fit",-56.52,"-57.65 to -55.68",-156.25,"-159.62 to -153.6",-8.06,"-8.15 to -7.98",50.68,"50.26 to 50.97",34.504,534
