"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.72,"-56.52 to -54.95",-153.97,"-156.46 to -151.52",-7.97,"-8 to -7.94",50.31,"50.16 to 50.44",1143.173,17346
"2 Tm versus ln[Ct]",-55.59,"-56.57 to -54.65",-153.58,"-156.64 to -150.65",-7.96,"-8 to -7.92",50.26,"50.13 to 50.39",1143.173,17346
"3 Global fit",-56.59,"-57.75 to -55.62",-156.44,"-159.9 to -153.41",-8.07,"-8.15 to -7.98",50.68,"50.27 to 50.99",1143.173,17346
