"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.75,"-56.55 to -54.94",-154.04,"-156.56 to -151.56",-7.97,"-8 to -7.94",50.31,"50.18 to 50.44",74.008,1125
"2 Tm versus ln[Ct]",-55.62,"-56.61 to -54.52",-153.68,"-156.77 to -150.17",-7.96,"-8 to -7.92",50.25,"50.15 to 50.37",74.008,1125
"3 Global fit",-56.53,"-57.54 to -55.55",-156.26,"-159.31 to -153.24",-8.07,"-8.13 to -7.98",50.68,"50.28 to 51",74.008,1125
