"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM","S.time","n.comb"
"1 individual fits",-55.65,"-56.48 to -54.94",-153.75,"-156.37 to -151.49",-7.97,"-8 to -7.94",50.32,"50.18 to 50.46",5.933,93
"2 Tm versus ln[Ct]",-55.58,"-56.39 to -54.8",-153.56,"-156.1 to -151.11",-7.96,"-7.99 to -7.93",50.26,"50.15 to 50.39",5.933,93
"3 Global fit",-56.46,"-57.55 to -55.49",-156.04,"-159.31 to -152.94",-8.07,"-8.13 to -7.99",50.71,"50.33 to 50.94",5.933,93
