Sample,Pathlength,Temperature,Absorbance, ,, ,, 
1,1,12.6,0,,,,,
1,1,12.5,-0.0001,,,,,
1,1,12.6,0,,,,,
1,1,13.1,0,,,,,
1,1,13.5,0.0001,,,,,
1,1,14,0.0001,,,,,
1,1,14.4,0.0002,,,,,
1,1,14.9,0.0002,,,,,
1,1,15.3,0.0002,,,,,
1,1,15.8,0.0002,,,,,
1,1,16.2,0.0003,,,,,
1,1,16.7,0.0004,,,,,
1,1,17.2,0.0004,,,,,
1,1,17.6,0.0005,,,,,
1,1,18.1,0.0006,,,,,
1,1,18.6,0.0005,,,,,
1,1,19,0.0005,,,,,
1,1,19.5,0.0006,,,,,
1,1,19.9,0.0006,,,,,
1,1,20.4,0.0006,,,,,
1,1,20.9,0.0007,,,,,
1,1,21.4,0.0006,,,,,
1,1,21.5,0.0005,,,,,
1,1,22.1,0.0006,,,,,
1,1,22.6,0.0008,,,,,
1,1,23.1,0.0007,,,,,
1,1,23.6,0.0008,,,,,
1,1,24.1,0.0009,,,,,
1,1,24.6,0.0009,,,,,
1,1,25.1,0.0009,,,,,
1,1,25.6,0.0009,,,,,
1,1,26.1,0.0009,,,,,
1,1,26.5,0.0009,,,,,
1,1,26.9,0.0008,,,,,
1,1,27.3,0.0009,,,,,
1,1,27.8,0.001,,,,,
1,1,28.1,0.0009,,,,,
1,1,28.6,0.001,,,,,
1,1,29.1,0.001,,,,,
1,1,29.5,0.0011,,,,,
1,1,30,0.0011,,,,,
1,1,30.5,0.0011,,,,,
1,1,31,0.0012,,,,,
1,1,31.5,0.0014,,,,,
1,1,31.9,0.0013,,,,,
1,1,32.5,0.0015,,,,,
1,1,33,0.0015,,,,,
1,1,33.4,0.0015,,,,,
1,1,34,0.0017,,,,,
1,1,34.4,0.0018,,,,,
1,1,34.9,0.0018,,,,,
1,1,35.4,0.002,,,,,
1,1,35.9,0.0021,,,,,
1,1,36.4,0.0022,,,,,
1,1,36.9,0.0022,,,,,
1,1,37.4,0.0023,,,,,
1,1,37.8,0.0024,,,,,
1,1,38.3,0.0022,,,,,
1,1,38.8,0.0024,,,,,
1,1,39.2,0.0025,,,,,
1,1,39.8,0.0026,,,,,
1,1,40.3,0.0025,,,,,
1,1,40.8,0.0026,,,,,
1,1,41.3,0.0027,,,,,
1,1,41.7,0.0028,,,,,
