Sample,Pathlength,Temperature,Absorbance, ,, ,, 
1,1,11.6,-0.0008,,,,,
1,1,11.9,-0.0006,,,,,
1,1,12.4,-0.0007,,,,,
1,1,12.8,-0.0006,,,,,
1,1,13.3,-0.0005,,,,,
1,1,13.7,-0.0004,,,,,
1,1,14.2,-0.0005,,,,,
1,1,14.7,-0.0004,,,,,
1,1,15.1,-0.0003,,,,,
1,1,15.6,-0.0003,,,,,
1,1,16,-0.0003,,,,,
1,1,16.5,-0.0004,,,,,
1,1,17,-0.0004,,,,,
1,1,17.4,-0.0002,,,,,
1,1,17.9,-0.0002,,,,,
1,1,18.4,-0.0001,,,,,
1,1,18.9,0,,,,,
1,1,19.3,-0.0001,,,,,
1,1,19.8,0,,,,,
1,1,20.2,-0.0002,,,,,
1,1,20.7,-0.0001,,,,,
1,1,21.2,0,,,,,
1,1,21.6,0,,,,,
1,1,22.1,0.0001,,,,,
1,1,22.4,0.0001,,,,,
1,1,23,0.0001,,,,,
1,1,23.5,0.0002,,,,,
1,1,24,0.0002,,,,,
1,1,24.5,0.0003,,,,,
1,1,25,0.0003,,,,,
1,1,25.5,0.0003,,,,,
1,1,25.9,0.0004,,,,,
1,1,26.3,0.0005,,,,,
1,1,26.8,0.0005,,,,,
1,1,27.2,0.0005,,,,,
1,1,27.6,0.0005,,,,,
1,1,28.1,0.0005,,,,,
1,1,28.6,0.0005,,,,,
1,1,28.9,0.0005,,,,,
1,1,29.5,0.0005,,,,,
1,1,30,0.0007,,,,,
1,1,30.5,0.0008,,,,,
1,1,30.9,0.0007,,,,,
1,1,31.4,0.0008,,,,,
1,1,31.9,0.0008,,,,,
1,1,32.5,0.0009,,,,,
1,1,32.9,0.0012,,,,,
1,1,33.4,0.0011,,,,,
1,1,33.9,0.0011,,,,,
1,1,34.4,0.0011,,,,,
1,1,34.9,0.0012,,,,,
1,1,35.4,0.0013,,,,,
1,1,35.8,0.0014,,,,,
1,1,36.3,0.0014,,,,,
1,1,36.8,0.0016,,,,,
1,1,37.3,0.0017,,,,,
1,1,37.7,0.0017,,,,,
1,1,38.2,0.0017,,,,,
1,1,38.7,0.0019,,,,,
1,1,39.2,0.0019,,,,,
1,1,39.7,0.0019,,,,,
1,1,40.3,0.0021,,,,,
1,1,40.7,0.0022,,,,,
1,1,41.2,0.0021,,,,,
1,1,41.7,0.0022,,,,,
1,1,42.2,0.002,,,,,
1,1,42.7,0.0022,,,,,
1,1,43.2,0.0023,,,,,
1,1,43.7,0.0022,,,,,
1,1,44.2,0.0023,,,,,
1,1,44.7,0.0025,,,,,
1,1,45.2,0.0026,,,,,
1,1,45.6,0.0023,,,,,
1,1,46.2,0.0023,,,,,
1,1,46.6,0.0025,,,,,
1,1,47.2,0.0025,,,,,
1,1,47.7,0.0027,,,,,
1,1,48.1,0.0025,,,,,
1,1,48.6,0.0027,,,,,
1,1,49.1,0.0027,,,,,
1,1,49.6,0.0028,,,,,
1,1,50.1,0.0029,,,,,
1,1,50.6,0.0029,,,,,
1,1,51.1,0.0033,,,,,
1,1,51.6,0.0032,,,,,
1,1,52.1,0.0032,,,,,
1,1,52.7,0.0035,,,,,
1,1,53.1,0.0036,,,,,
1,1,53.6,0.0037,,,,,
1,1,54.1,0.0036,,,,,
1,1,54.6,0.0039,,,,,
1,1,55.1,0.0038,,,,,
1,1,55.6,0.004,,,,,
1,1,56.1,0.0043,,,,,
1,1,56.6,0.0042,,,,,
1,1,57.1,0.0044,,,,,
1,1,57.6,0.0044,,,,,
1,1,58.1,0.0046,,,,,
1,1,58.6,0.0047,,,,,
1,1,59.1,0.0051,,,,,
1,1,59.6,0.0052,,,,,
1,1,60,0.0054,,,,,
1,1,60.6,0.0054,,,,,
1,1,61,0.0055,,,,,
1,1,61.6,0.0058,,,,,
1,1,62,0.0061,,,,,
1,1,62.6,0.0061,,,,,
1,1,63,0.0061,,,,,
1,1,63.5,0.0062,,,,,
1,1,64.1,0.0065,,,,,
1,1,64.5,0.0069,,,,,
1,1,65,0.0071,,,,,
1,1,65.5,0.0071,,,,,
1,1,66.1,0.0075,,,,,
1,1,66.5,0.0077,,,,,
1,1,67,0.0079,,,,,
1,1,67.5,0.0079,,,,,
1,1,68,0.0083,,,,,
1,1,68.5,0.0085,,,,,
1,1,69,0.0087,,,,,
1,1,69.5,0.0089,,,,,
1,1,70,0.0092,,,,,
1,1,70.5,0.0095,,,,,
1,1,71,0.0097,,,,,
1,1,71.5,0.01,,,,,
1,1,72,0.0105,,,,,
1,1,72.5,0.0106,,,,,
1,1,73,0.011,,,,,
1,1,73.5,0.0114,,,,,
1,1,74,0.0118,,,,,
2,0.1,11.6,0.7664,,,,,
2,0.1,11.9,0.7679,,,,,
2,0.1,12.4,0.7693,,,,,
2,0.1,12.8,0.7705,,,,,
2,0.1,13.3,0.772,,,,,
2,0.1,13.7,0.7732,,,,,
2,0.1,14.2,0.7751,,,,,
2,0.1,14.7,0.7765,,,,,
2,0.1,15.1,0.7784,,,,,
2,0.1,15.6,0.7801,,,,,
2,0.1,16,0.7816,,,,,
2,0.1,16.5,0.7833,,,,,
2,0.1,17,0.7854,,,,,
2,0.1,17.4,0.7867,,,,,
2,0.1,17.9,0.7886,,,,,
2,0.1,18.4,0.7906,,,,,
2,0.1,18.9,0.7927,,,,,
2,0.1,19.3,0.7943,,,,,
2,0.1,19.8,0.7964,,,,,
2,0.1,20.2,0.7984,,,,,
2,0.1,20.7,0.8006,,,,,
2,0.1,21.2,0.8028,,,,,
2,0.1,21.6,0.8048,,,,,
2,0.1,22.1,0.8073,,,,,
2,0.1,22.4,0.8098,,,,,
2,0.1,23,0.8127,,,,,
2,0.1,23.5,0.8148,,,,,
2,0.1,24,0.8175,,,,,
2,0.1,24.5,0.8196,,,,,
2,0.1,25,0.8221,,,,,
2,0.1,25.5,0.8249,,,,,
2,0.1,25.9,0.8273,,,,,
2,0.1,26.3,0.8299,,,,,
2,0.1,26.8,0.8325,,,,,
2,0.1,27.2,0.8349,,,,,
2,0.1,27.6,0.838,,,,,
2,0.1,28.1,0.8411,,,,,
2,0.1,28.6,0.8448,,,,,
2,0.1,28.9,0.8477,,,,,
2,0.1,29.5,0.8527,,,,,
2,0.1,30,0.8577,,,,,
2,0.1,30.5,0.8623,,,,,
2,0.1,30.9,0.8666,,,,,
2,0.1,31.4,0.8715,,,,,
2,0.1,31.9,0.8781,,,,,
2,0.1,32.5,0.8845,,,,,
2,0.1,32.9,0.8907,,,,,
2,0.1,33.4,0.8967,,,,,
2,0.1,33.9,0.9031,,,,,
2,0.1,34.4,0.9113,,,,,
2,0.1,34.9,0.9182,,,,,
2,0.1,35.4,0.9264,,,,,
2,0.1,35.8,0.9332,,,,,
2,0.1,36.3,0.9417,,,,,
2,0.1,36.8,0.95,,,,,
2,0.1,37.3,0.9585,,,,,
2,0.1,37.7,0.9643,,,,,
2,0.1,38.2,0.9731,,,,,
2,0.1,38.7,0.9814,,,,,
2,0.1,39.2,0.9898,,,,,
2,0.1,39.7,0.9974,,,,,
2,0.1,40.3,1.0048,,,,,
2,0.1,40.7,1.0112,,,,,
2,0.1,41.2,1.0181,,,,,
2,0.1,41.7,1.0243,,,,,
2,0.1,42.2,1.0299,,,,,
2,0.1,42.7,1.0356,,,,,
2,0.1,43.2,1.0398,,,,,
2,0.1,43.7,1.0436,,,,,
2,0.1,44.2,1.0479,,,,,
2,0.1,44.7,1.0514,,,,,
2,0.1,45.2,1.0542,,,,,
2,0.1,45.6,1.0562,,,,,
2,0.1,46.2,1.0582,,,,,
2,0.1,46.6,1.061,,,,,
2,0.1,47.2,1.0626,,,,,
2,0.1,47.7,1.0638,,,,,
2,0.1,48.1,1.0654,,,,,
2,0.1,48.6,1.0662,,,,,
2,0.1,49.1,1.0674,,,,,
2,0.1,49.6,1.0679,,,,,
2,0.1,50.1,1.0691,,,,,
2,0.1,50.6,1.0699,,,,,
2,0.1,51.1,1.0707,,,,,
2,0.1,51.6,1.0711,,,,,
2,0.1,52.1,1.0716,,,,,
2,0.1,52.7,1.0724,,,,,
2,0.1,53.1,1.0732,,,,,
2,0.1,53.6,1.0732,,,,,
2,0.1,54.1,1.0736,,,,,
2,0.1,54.6,1.0736,,,,,
2,0.1,55.1,1.0745,,,,,
2,0.1,55.6,1.0749,,,,,
2,0.1,56.1,1.0749,,,,,
2,0.1,56.6,1.0757,,,,,
2,0.1,57.1,1.0765,,,,,
2,0.1,57.6,1.0765,,,,,
2,0.1,58.1,1.0765,,,,,
2,0.1,58.6,1.0774,,,,,
2,0.1,59.1,1.0774,,,,,
2,0.1,59.6,1.0782,,,,,
2,0.1,60,1.079,,,,,
2,0.1,60.6,1.0786,,,,,
2,0.1,61,1.079,,,,,
2,0.1,61.6,1.0795,,,,,
2,0.1,62,1.0799,,,,,
2,0.1,62.6,1.0799,,,,,
2,0.1,63,1.0803,,,,,
2,0.1,63.5,1.0803,,,,,
2,0.1,64.1,1.0807,,,,,
2,0.1,64.5,1.0816,,,,,
2,0.1,65,1.082,,,,,
2,0.1,65.5,1.082,,,,,
2,0.1,66.1,1.0816,,,,,
2,0.1,66.5,1.0824,,,,,
