"Sample","Ct","dH","dS","dG","Tm"
"172",0.000566,-40.15,-121.1,-2.61,58.43
"174",2.76e-05,-26.92,-79.4,-2.31,65.93
"175",0.000258,-37.63,-113.65,-2.4,58
"176",7.18e-05,-31.63,-95.09,-2.15,59.47
"177",1.56e-05,-32.5,-96.35,-2.63,64.15
"179",4.92e-05,-27.68,-82.24,-2.19,63.47
"180",1.03e-05,-32.28,-95.64,-2.64,64.42
