"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-37.63,3.72,-109.41,11.15,-3.71,0.33,70.78,18.56
"3 Global fit",-35.34,0.44,-102.31,1.32,-3.61,0.03,70.78,NA
