"Sample","Ct","dH","dS","dG","Tm"
"2",0.000983,-56.73,-158.49,-7.57,56.17
"3",0.000223,-55.04,-152.93,-7.61,51.31
"4",4.46e-05,-55.14,-152.56,-7.82,46.54
"6",0.000564,-56.5,-157.6,-7.62,54.47
"7",0.000139,-56.33,-157.38,-7.52,48.68
"8",3.02e-05,-54.41,-150.86,-7.62,44.01
"10",0.000336,-57.33,-160.88,-7.43,51.17
"12",2.2e-05,-57.75,-162.46,-7.37,41.13
