"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-36.46,"-37.66 to -35.49",-107.46,"-111.39 to -104.34",-3.15,"-3.23 to -3.07",66.15,"65.01 to 66.98"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-37.1,"-38.7 to -35.52",-110.3,"-115.7 to -105.27",-2.89,"-3.16 to -2.71",66.15,"65.01 to 66.98"
